url,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
kokoon.io,4934,3335,5368,5367,4900,233,1606,74,95,3169,26,0,0,37,0,0,4021,52582,21834,1175,760,967,222
v1-17.docs.kubernetes.io,2384,1967,1532,1532,2380,9,793,9,0,1587,4,0,0,2,0,0,1189,92606,16830,505,484,583,317
novator.io,1536,1100,144735,144685,1519,388,464,23,0,1054,17,0,0,26,0,0,144627,4987320,1988038,354,275,310,203
www.turkeyhuntingchat.com,136226,106182,7583,7583,136224,10,16931,526,0,119293,1,0,6,1101,0,0,7126,204524,52562,1836,1459,1769,4561
teatrmaska.com.pl,977,961,129,129,977,913,2,0,0,975,0,0,0,0,0,0,112,1487,325,11,10,10,16
support.garmory.pl,51041,42682,419,419,51041,0,2240,0,0,48801,0,0,0,0,0,0,401,7796,1487,18,18,21,11
seo.twojafirmaa.com.pl,4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0
gckradomysl.pl,74,57,354,354,74,2,6,0,0,68,0,0,0,0,0,0,352,19634,4792,9,8,8,20
currahee.pl,1459,1157,0,0,1459,185,370,2,0,1089,0,0,0,12,0,0,0,0,0,113,123,129,0
generatorpomyslow.pl,294,84,347,347,294,50,266,0,0,28,0,0,0,6,0,0,330,16071,957,29,34,36,59
glamstyle.pl,8887,7831,906,906,8827,904,439,4,0,8388,59,0,0,6,1,0,887,86906,10189,152,131,150,145
www.radyvyliv.info,2349,2133,256,256,2349,116,456,1,0,1893,0,0,2,36,0,0,1,395,13,180,177,200,8
sdd.spc.int,633515,628053,2552,2550,633479,2012,10127,9,0,623352,29,0,6979,295,7,0,2432,177334,34281,1150,930,1149,150
www.ramiibrahim.info,3617,1756,117,117,3617,0,5,5,0,3612,0,0,0,0,0,0,114,4764,2223,2,2,4,20
